nthreads, ntasks, speedup
5, 13, 4.333232896040521
5, 14, 4.540310907339373
5, 15, 4.2389628378503685
5, 16, 3.798062233358542
5, 17, 4.029499482524474
5, 18, 4.2579171671469265
5, 19, 4.749794305425257
5, 20, 5.033058462209691
5, 25, 4.61481992858211
5, 30, 4.763546522581162
5, 35, 4.769433484022422
5, 40, 5.015845458951398
5, 45, 4.577803420002072
5, 50, 4.796465372949071
5, 55, 5.12620123179697
5, 60, 5.077761696918192
5, 65, 5.240804331628343
5, 70, 5.2731346654372615
5, 75, 5.5856652100347635
5, 80, 5.0559168313558445
5, 85, 5.245899007133835
5, 90, 4.812133800983049
5, 95, 5.462000820641922
5, 100, 5.02404641852554
6, 1, 0.9878165852411969
6, 2, 1.8538293931619796
6, 3, 2.4379979103632916
6, 4, 2.8787151377462012
6, 5, 3.4646195974386282
6, 6, 4.343450877707846
6, 7, 3.6659703892686504
6, 8, 3.8622714324686336
6, 9, 3.9018200336473794
6, 10, 3.3778961595889103
6, 11, 4.568442274509664
6, 12, 5.814764962856134
6, 13, 4.291175653363051
6, 14, 4.871412346404077
6, 15, 5.2136465796696525
6, 16, 5.235456885140531
6, 17, 4.469079913377682
6, 18, 5.318194256796427
6, 19, 4.703776715270989
6, 20, 4.785946248575551
6, 25, 5.639078421628493
6, 30, 6.479605715807454
6, 35, 5.74089669262048
6, 40, 6.225586976754944
6, 45, 5.860496310545363
6, 50, 5.949387669684162
6, 55, 6.005697443667492
6, 60, 6.274329031762279
6, 65, 6.021564827816699
6, 70, 5.826507516189835
6, 75, 6.442019699822453
6, 80, 6.241237760641606
6, 85, 6.212747520176866
6, 90, 5.845141337264929
6, 95, 5.987871364180786
6, 100, 6.082198553912588
7, 1, 0.9964549043762994
7, 2, 1.752470138564805
7, 3, 2.3151683660440834
7, 4, 2.9121203483033877
7, 5, 3.7440831317576095
7, 6, 4.123954525749962
7, 7, 4.701160026562425
7, 8, 4.169848178489042
7, 9, 4.0890645971231185
7, 10, 4.83480520840223
7, 11, 3.9243807595780758
7, 12, 5.38520857246138
7, 13, 6.306531431061679
7, 14, 4.664194271152378
7, 15, 4.824521389428714
7, 16, 5.414559123918755
7, 17, 5.444888442438954
