nthreads, ntasks, speedup
3, 4, 1.9445005364107146
3, 5, 3.178279295670148
3, 6, 2.504781705140698
3, 7, 2.2001745477660073
3, 8, 1.7392713674501221
3, 9, 2.8943970371520806
3, 10, 2.410544445610474
3, 11, 2.6024842661649643
3, 12, 2.510537500802094
3, 13, 2.8821644997105507
3, 14, 3.4234260528316818
3, 15, 2.475147431788537
3, 16, 2.8228928286295814
3, 17, 2.283281925183758
3, 18, 2.1684594749309416
3, 19, 3.126663212637135
3, 20, 2.7551732557009516
3, 30, 3.6103287870568948
3, 40, 2.670209415447141
3, 50, 3.5625650426392466
3, 60, 3.2974540309870064
3, 70, 3.4371871709387736
3, 80, 2.7048576730401015
3, 90, 2.6930653645906806
3, 100, 2.542728221924731
3, 150, 3.268158113974949
3, 200, 3.391778595311401
3, 250, 3.5679602781157778
3, 300, 3.5017778423959243
3, 350, 3.540727321198345
3, 400, 3.665523237394728
3, 450, 3.7222176547653514
3, 500, 3.5411599933653344
4, 1, 1.0370615192518915
4, 2, 1.574471647568479
4, 3, 2.383569805576181
4, 4, 2.4590691751427403
4, 5, 3.2249800166645666
4, 6, 3.5870816307567726
4, 7, 2.8681000111431714
4, 8, 2.4288059193824134
4, 9, 2.7100010333303453
4, 10, 2.650602525810861
4, 11, 3.60034202206554
4, 12, 3.0270404708479672
4, 13, 3.4615048337191587
4, 14, 3.209640881463326
4, 15, 3.9547725517273506
4, 16, 3.916734040051481
4, 17, 3.7958986471623155
4, 18, 3.9277310482876575
4, 19, 3.628360452152607
4, 20, 2.9318977368027292
4, 30, 3.6991577687815878
4, 40, 3.644509445228144
4, 50, 4.391187573278163
4, 60, 3.960229420259972
4, 70, 4.371916516408854
4, 80, 4.496962959942092
4, 90, 3.246442797707379
4, 100, 4.312001682125952
4, 150, 4.431537307411199
4, 200, 3.9192740916904416
4, 250, 3.30174388750973
4, 300, 3.843522614130945
4, 350, 4.439346347943726
4, 400, 4.461074757006005
4, 450, 4.314773470732519
4, 500, 4.225598756408906
5, 1, 0.9601424566735922
5, 2, 1.7510514833997444
5, 3, 2.6324089497443532
5, 4, 3.3506570867217556
5, 5, 3.760742790849413
5, 6, 3.1103479578082798
5, 7, 3.327732810792562
5, 8, 3.0157689506086163
5, 9, 3.7687987358200172
5, 10, 4.038936262891687
5, 11, 3.9822548559986646
5, 12, 4.234520289511438
5, 13, 3.330158364228794
5, 14, 3.7342993237022077
5, 15, 3.191257909889404
