nthreads, ntasks, speedup
5, 400, 4.21906132246749
5, 450, 4.468094352447824
5, 500, 4.080775558158321
6, 1, 0.9953937821643128
6, 2, 1.908895661982465
6, 3, 2.6511459742520618
6, 4, 3.5547239541139595
6, 5, 3.885565708037029
6, 6, 4.408219024574806
6, 7, 3.413124718206149
6, 8, 3.7845776974580905
6, 9, 3.4178442727828853
6, 10, 4.386720081302876
6, 11, 4.449032664454099
6, 12, 4.539172661271191
6, 13, 3.972003908136479
6, 14, 4.398700477011702
6, 15, 4.570128270074113
6, 16, 4.679812837935789
6, 17, 4.336690170069784
6, 18, 4.569414575720863
6, 19, 4.232488843624616
6, 20, 4.573736957196302
6, 30, 4.521941026142939
6, 40, 4.8147858174546325
6, 50, 4.917701950001756
6, 60, 4.730434167416324
6, 70, 4.666275134048604
6, 80, 5.038764203717079
6, 90, 4.740361293363108
6, 100, 4.7214078816872425
6, 150, 5.042245382013605
6, 200, 5.16944059391913
6, 250, 5.053781546034787
6, 300, 4.802905125801531
6, 350, 4.724970347679358
6, 400, 4.879627960437293
6, 450, 5.171085762882727
6, 500, 5.251191154715289
7, 1, 1.0043294437409054
7, 2, 1.963441102234476
7, 3, 2.8066445379142815
7, 4, 3.32723398773215
7, 5, 4.182391772233659
7, 6, 4.378252212286576
7, 7, 4.714465525543119
7, 8, 3.906772858594578
7, 9, 4.137497242939431
7, 10, 4.318653241017586
7, 11, 4.596241872732323
7, 12, 5.039296870176069
7, 13, 4.958650450815476
7, 14, 4.6002532759789645
7, 15, 4.836259624718444
7, 16, 4.56331083535518
7, 17, 4.737019536807475
7, 18, 4.712323970330728
7, 19, 5.01810125627908
7, 20, 4.560326128188332
7, 30, 5.1043193858243985
7, 40, 5.185978139398902
7, 50, 5.307891790575973
7, 60, 5.291609440344104
7, 70, 5.159283357044623
7, 80, 5.1047007381529275
7, 90, 5.427323857912169
7, 100, 5.252820316639179
7, 150, 5.29312162210823
7, 200, 5.427696763777947
7, 250, 5.208766035395967
7, 300, 5.412329429265427
7, 350, 5.508555982371313
7, 400, 5.364904033628477
7, 450, 5.448774999547795
7, 500, 5.42312609852079
8, 1, 0.9898378643724717
8, 2, 1.589672648917093
8, 3, 2.6693495021639895
8, 4, 3.3178571558717658
8, 5, 4.111286982205852
8, 6, 4.511195544202782
8, 7, 4.724039972372404
8, 8, 5.275494598247971
8, 9, 4.333118824629958
8, 10, 4.565547287976638
8, 11, 4.487998282670803
8, 12, 5.125247304680946
8, 13, 4.8064101022480115
8, 14, 4.762243550259412
8, 15, 5.15119590483454
8, 16, 5.059571866601991
8, 17, 5.2358167343247395
8, 18, 5.309037319913168
8, 19, 5.0741002342934785
8, 20, 5.295511618334258
8, 30, 5.287052080689392
8, 40, 5.620775255568661
8, 50, 5.646182642872433
8, 60, 5.516462890033026
8, 70, 5.536118271047437
8, 80, 5.573204534515095
8, 90, 5.660434389845224
8, 100, 5.726358112499464
8, 150, 6.463085394299293
8, 200, 5.36371061117149
8, 250, 5.8591892175953415
8, 300, 5.510261628529269
8, 350, 5.824196249783689
8, 400, 5.744845811013619
8, 450, 5.84081304731258
8, 500, 5.87056682186045
9, 1, 1.0015730825687195
9, 2, 1.8149119356495076
9, 3, 2.523883265574721
9, 4, 3.315937572977085
9, 5, 3.9748775563893957
9, 6, 4.45042489775305
9, 7, 4.845256042720025
9, 8, 5.2063562968627375
9, 9, 5.612123949684752
9, 10, 4.2119744743690894
9, 11, 4.521928095116732
9, 12, 4.778599163852312
9, 13, 4.9958451602560485
9, 14, 5.203007819453144
9, 15, 5.197490354500169
9, 16, 5.433150683298668
9, 17, 5.5138919478959165
9, 18, 5.717073088527796
9, 19, 5.959351682144803
9, 20, 5.554774700689555
9, 30, 5.827447664383587
9, 40, 5.650051896020936
9, 50, 5.881366956156707
9, 60, 5.873411544130567
9, 70, 6.064716366869279
9, 80, 6.0203984936037855
9, 90, 6.056323680854782
9, 100, 5.972846268904423
9, 150, 6.040952100060429
9, 200, 5.897800737115581
9, 250, 6.121294282313859
9, 300, 6.126851618739457
9, 350, 6.380077956050713
9, 400, 6.134982972452743
9, 450, 6.181274776921992
